"dgp","L","m","kappa","seed","available","cond","delivered","avail_top","avail_rest","frontier","interior","width","groups"
"affine",50,15,0.666666666666667,50156,0.98,1,0.98,0.8,1,1,1,0.100329544680927,1
"affine",50,15,0.666666666666667,50157,0.98,0.73469387755102,0.72,0.8,1,0.833333333333333,0.67741935483871,0.0479051885154413,1
"affine",50,15,0.666666666666667,50158,0.98,0.979591836734694,0.96,0.8,1,1,0.976744186046512,0.0769169277601527,1
"affine",50,15,0.666666666666667,50159,0.98,1,0.98,0.8,1,1,1,0.0724806099138613,1
"affine",50,15,0.666666666666667,50160,0.98,0.979591836734694,0.96,0.8,1,0.928571428571429,1,0.0933875765983279,1
"affine",50,15,0.666666666666667,50161,0.96,1,0.96,0.6,1,1,1,0.0673892860952269,1
"affine",50,15,0.666666666666667,50162,0.98,0.938775510204082,0.92,0.8,1,1,0.918918918918919,0.0526090069747832,0.5
"affine",50,15,0.666666666666667,50163,0.98,1,0.98,0.8,1,1,1,0.0451731899584357,1
"affine",50,15,0.666666666666667,50164,0.98,0.673469387755102,0.66,0.8,1,1,0.555555555555556,0.0395024840236627,0
"affine",50,15,0.666666666666667,50165,0.96,1,0.96,0.6,1,1,1,0.0805262793837329,1
"affine",50,15,0.666666666666667,50166,0.98,1,0.98,0.8,1,1,1,0.0762082412467594,1
"affine",50,15,0.666666666666667,50167,0.98,0.959183673469388,0.94,0.8,1,0.947368421052632,0.966666666666667,0.0309332267285973,1
"affine",50,15,0.666666666666667,50168,0.98,1,0.98,0.8,1,1,1,0.0597716739799198,1
"affine",50,15,0.666666666666667,50169,0.98,0.897959183673469,0.88,0.8,1,0.764705882352941,0.96875,0.0449498291888945,1
"affine",50,15,0.666666666666667,50170,0.96,0.895833333333333,0.86,0.6,1,0.882352941176471,0.903225806451613,0.0456834397013014,1
"affine",50,15,0.666666666666667,50171,0.98,0.836734693877551,0.82,0.8,1,1,0.783783783783784,0.0668812834544897,1
"affine",50,15,0.666666666666667,50172,0.98,0.979591836734694,0.96,0.8,1,1,0.966666666666667,0.0469020204718894,1
"affine",50,15,0.666666666666667,50173,0.98,0.653061224489796,0.64,0.8,1,0.5,0.702702702702703,0.0534142530801534,0.5
"affine",50,15,0.666666666666667,50174,0.96,1,0.96,0.6,1,1,1,0.0555745807078381,1
"affine",50,15,0.666666666666667,50175,0.96,1,0.96,0.6,1,1,1,0.0627128440977798,1
"affine",50,15,0.666666666666667,50176,0.98,1,0.98,0.8,1,1,1,0.0364101437105853,1
"affine",50,15,0.666666666666667,50177,0.98,0.979591836734694,0.96,0.8,1,1,0.970588235294118,0.0683999136969041,1
"affine",50,15,0.666666666666667,50178,0.98,0.979591836734694,0.96,0.8,1,1,0.96969696969697,0.0615590236066382,1
"affine",50,15,0.666666666666667,50179,0.98,0.979591836734694,0.96,0.8,1,1,0.96969696969697,0.0597418531555064,1
"affine",50,15,0.666666666666667,50180,0.98,0.979591836734694,0.96,0.8,1,0.888888888888889,1,0.0675537223753783,1
"affine",50,15,0.666666666666667,50181,0.96,1,0.96,0.6,1,1,1,0.0415739892513758,1
"affine",50,15,0.666666666666667,50182,0.98,1,0.98,0.8,1,1,1,0.0652376931985567,1
"affine",50,15,0.666666666666667,50183,0.98,1,0.98,0.8,1,1,1,0.065739531058341,1
"affine",50,15,0.666666666666667,50184,0.98,1,0.98,0.8,1,1,1,0.0412473275390935,1
"affine",50,15,0.666666666666667,50185,0.96,0.5625,0.54,0.6,1,0.857142857142857,0.441176470588235,0.0579563499453127,0
"affine",50,15,0.666666666666667,50186,0.98,1,0.98,0.8,1,1,1,0.0596871576299146,1
"affine",50,15,0.666666666666667,50187,0.98,1,0.98,0.8,1,1,1,0.0746751890194478,1
"affine",50,15,0.666666666666667,50188,0.96,1,0.96,0.6,1,1,1,0.0586968022020339,1
"affine",50,15,0.666666666666667,50189,0.98,0.959183673469388,0.94,0.8,1,1,0.933333333333333,0.056088589003905,0.5
"affine",50,15,0.666666666666667,50190,0.96,0.958333333333333,0.92,0.6,1,1,0.941176470588235,0.0756085698934628,1
"affine",50,15,0.666666666666667,50191,0.98,1,0.98,0.8,1,1,1,0.0543489106495262,1
"affine",50,15,0.666666666666667,50192,0.98,1,0.98,0.8,1,1,1,0.0574623099006061,1
"affine",50,15,0.666666666666667,50193,0.98,0.938775510204082,0.92,0.8,1,1,0.923076923076923,0.0742275221159987,1
"affine",50,15,0.666666666666667,50194,0.98,1,0.98,0.8,1,1,1,0.0614618546930932,1
"affine",50,15,0.666666666666667,50195,0.98,1,0.98,0.8,1,1,1,0.0865616415326884,1
"affine",50,15,0.666666666666667,50196,0.98,1,0.98,0.8,1,1,1,0.0976470493991383,1
"affine",50,15,0.666666666666667,50197,0.98,1,0.98,0.8,1,1,1,0.0912206619186119,1
"affine",50,15,0.666666666666667,50198,0.98,1,0.98,0.8,1,1,1,0.0682944144274136,1
"affine",50,15,0.666666666666667,50199,0.96,1,0.96,0.6,1,1,1,0.0919808816971006,1
"affine",50,15,0.666666666666667,50200,0.98,1,0.98,0.8,1,1,1,0.0649463610935485,1
"curved",50,15,0.666666666666667,1050001,0.96,0.979166666666667,0.94,0.6,1,1,0.971428571428571,0.0740254877212775,0.5
"curved",50,15,0.666666666666667,1050002,0.98,0.775510204081633,0.76,0.8,1,0.823529411764706,0.75,0.0637928033186848,1
"curved",50,15,0.666666666666667,1050003,0.98,1,0.98,0.8,1,1,1,0.0831932473241492,1
"curved",50,15,0.666666666666667,1050004,0.98,0.918367346938776,0.9,0.8,1,0.909090909090909,0.921052631578947,0.0664062868434643,1
"curved",50,15,0.666666666666667,1050005,0.98,0.795918367346939,0.78,0.8,1,0.857142857142857,0.771428571428571,0.0698082079713166,1
"curved",50,15,0.666666666666667,1050006,0.98,1,0.98,0.8,1,1,1,0.102171155674214,1
"curved",50,15,0.666666666666667,1050007,0.98,0.979591836734694,0.96,0.8,1,0.916666666666667,1,0.0879528824274676,1
"curved",50,15,0.666666666666667,1050008,0.96,1,0.96,0.6,1,1,1,0.0747459494991835,1
"curved",50,15,0.666666666666667,1050009,0.98,0.959183673469388,0.94,0.8,1,0.9375,0.96969696969697,0.075170243597704,1
"curved",50,15,0.666666666666667,1050010,0.96,0.958333333333333,0.92,0.6,1,1,0.933333333333333,0.0977487133619034,1
"curved",50,15,0.666666666666667,1050011,0.98,0.979591836734694,0.96,0.8,1,1,0.970588235294118,0.0791053517968814,1
"curved",50,15,0.666666666666667,1050012,0.98,0.979591836734694,0.96,0.8,1,1,0.971428571428571,0.0750529107620723,1
"curved",50,15,0.666666666666667,1050013,0.96,1,0.96,0.6,1,1,1,0.0681935909325961,1
"curved",50,15,0.666666666666667,1050014,0.98,0.938775510204082,0.92,0.8,1,0.882352941176471,0.96875,0.0829691729594781,1
"curved",50,15,0.666666666666667,1050015,0.96,0.854166666666667,0.82,0.6,1,0.882352941176471,0.838709677419355,0.0787846863183844,1
"curved",50,15,0.666666666666667,1050016,0.98,0.857142857142857,0.84,0.8,1,1,0.815789473684211,0.0841332280963127,1
"curved",50,15,0.666666666666667,1050017,0.96,0.645833333333333,0.62,0.6,1,0.722222222222222,0.6,0.0464603333095492,0.5
"curved",50,15,0.666666666666667,1050018,0.96,0.895833333333333,0.86,0.6,1,1,0.848484848484849,0.0947838479541709,1
"curved",50,15,0.666666666666667,1050019,0.96,0.8125,0.78,0.6,1,1,0.735294117647059,0.0779029934402106,0
"curved",50,15,0.666666666666667,1050020,0.98,0.918367346938776,0.9,0.8,1,1,0.894736842105263,0.0887572468442469,0.5
"curved",50,15,0.666666666666667,1050021,0.98,0.979591836734694,0.96,0.8,1,1,0.966666666666667,0.0802819660748002,1
"curved",50,15,0.666666666666667,1050022,0.98,1,0.98,0.8,1,1,1,0.0721421231094084,1
"curved",50,15,0.666666666666667,1050023,0.96,1,0.96,0.6,1,1,1,0.0950938143638824,1
"curved",50,15,0.666666666666667,1050024,0.96,1,0.96,0.6,1,1,1,0.116326006110257,1
"curved",50,15,0.666666666666667,1050025,0.98,0.775510204081633,0.76,0.8,1,0.923076923076923,0.722222222222222,0.0802182254788781,0.5
"curved",50,15,0.666666666666667,1050026,0.98,0.795918367346939,0.78,0.8,1,0.933333333333333,0.735294117647059,0.0799279089238593,1
"curved",50,15,0.666666666666667,1050027,0.98,0.836734693877551,0.82,0.8,1,0.875,0.818181818181818,0.0620167072359666,1
"curved",50,15,0.666666666666667,1050028,0.98,0.918367346938776,0.9,0.8,1,1,0.882352941176471,0.0686432678224502,1
"curved",50,15,0.666666666666667,1050029,0.98,1,0.98,0.8,1,1,1,0.0761586970359358,0.5
"curved",50,15,0.666666666666667,1050030,0.96,1,0.96,0.6,1,1,1,0.0959014314697046,1
"curved",50,15,0.666666666666667,1050031,0.98,1,0.98,0.8,1,1,1,0.0708476886255491,1
"curved",50,15,0.666666666666667,1050032,0.98,1,0.98,0.8,1,1,1,0.0797766353086479,1
"curved",50,15,0.666666666666667,1050033,0.98,1,0.98,0.8,1,1,1,0.105186092195925,1
"curved",50,15,0.666666666666667,1050034,0.96,1,0.96,0.6,1,1,1,0.0968038081018252,1
"curved",50,15,0.666666666666667,1050035,0.98,1,0.98,0.8,1,1,1,0.0800701788980842,1
"curved",50,15,0.666666666666667,1050036,0.98,1,0.98,0.8,1,1,1,0.0825839367667267,1
"curved",50,15,0.666666666666667,1050037,0.98,1,0.98,0.8,1,1,1,0.10516620519819,1
"curved",50,15,0.666666666666667,1050038,0.96,1,0.96,0.6,1,1,1,0.0842981796004577,1
"curved",50,15,0.666666666666667,1050039,0.98,0.979591836734694,0.96,0.8,1,0.947368421052632,1,0.0732528195810969,1
"curved",50,15,0.666666666666667,1050040,0.98,1,0.98,0.8,1,1,1,0.0545449109456182,1
"curved",50,15,0.666666666666667,1050041,0.96,1,0.96,0.6,1,1,1,0.0817634230518355,1
"curved",50,15,0.666666666666667,1050042,0.98,1,0.98,0.8,1,1,1,0.0829332125674254,1
"curved",50,15,0.666666666666667,1050043,0.98,0.959183673469388,0.94,0.8,1,1,0.9375,0.0661569215849886,1
"curved",50,15,0.666666666666667,1050044,0.98,1,0.98,0.8,1,1,1,0.0872896034391256,1
"curved",50,15,0.666666666666667,1050045,0.96,0.979166666666667,0.94,0.6,1,1,0.972222222222222,0.113038470779894,1
